"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Porch &amp; Swing","8","American (New)","4.5","2010 Main St ","","https://www.yelp.com/biz/porch-and-swing-irvine?osq=Restaraunts"
"2","Din Tai Fung","4948","Taiwanese","4","3333 Bristol St ","$$","https://www.yelp.com/biz/din-tai-fung-costa-mesa?osq=Restaraunts"
"3","Mastro’s Ocean Club","2184","Seafood,Steakhouses,Lounges","4","8112 E Coast Hwy ","$$$$","https://www.yelp.com/biz/mastros-ocean-club-newport-beach-2?osq=Restaraunts"
"4","North Italia","3192","Pizza,Italian","4.5","2957 Michelson Dr ","$$","https://www.yelp.com/biz/north-italia-irvine?osq=Restaraunts"
"5","Two Left Forks","499","American (New),Breakfast &amp; Brunch,Venues &amp; Event Spaces","4","6511 Quail Hill Pkwy ","$$","https://www.yelp.com/biz/two-left-forks-irvine-4?osq=Restaraunts"
"6","The Wharf","17","Cajun/Creole,Asian Fusion,Seafood","4","237 Ocean Ave ","","https://www.yelp.com/biz/the-wharf-laguna-beach?osq=Restaraunts"
"7","Bello by Sandro Nardone","129","Italian","4.5","1200 Bison Ave ","$$$","https://www.yelp.com/biz/bello-by-sandro-nardone-newport-beach?osq=Restaraunts"
"8","The Beachcomber","2274","Diners,Burgers,American (Traditional)","4","15 Crystal Cv ","$$","https://www.yelp.com/biz/the-beachcomber-newport-coast-4?osq=Restaraunts"
"9","Yeemy Yummy","9","Asian Fusion","4","17951 Sky Park Cir ","","https://www.yelp.com/biz/yeemy-yummy-irvine?osq=Restaraunts"
"10","Mama D’s Italian Kitchen","136","Italian","4.5","3732 E Coast Hwy ","$$","https://www.yelp.com/biz/mama-ds-italian-kitchen-corona-del-mar?osq=Restaraunts"
